Question,Answer
Who acted as Sophie in the movie 'The Love Punch'?,Tuppence Middleton
Who acted as Adam in the movie 'Little Manhattan'?,Bradley Whitford
Who acted as Mister in the movie 'Bite the Bullet'?,Ben Johnson
Who acted as Old Lady in the movie 'Black Moon'?, Therese Giehse
Who acted as Norris in the movie 'The Thing'?,Charles Hallahan
Who acted as Terry Benedict in the movie 'Ocean's Eleven'?,Andy García
Who acted as Jack in the movie 'Employee of the Month'?,Steve Zahn
Who acted as Scotty Brody in the movie 'Cats & Dogs'?,Alexander Pollock
Who acted as Suzie Barnes in the movie 'The Five-Year Engagement'?,Alison Brie
Who acted as  in the movie 'The Woman Next Door'?,Roger Van Hool
Who acted as Ryan Bingham in the movie 'Up in the Air'?,George Clooney
Who acted as Jeri Dawn in the movie 'Gloria'?,Julie Carmen
Who acted as Hollie Baylor in the movie 'Elizabethtown'?,Susan Sarandon
Who acted as Fran Kubelik in the movie 'The Apartment'?,Shirley MacLaine
Who acted as Durza in the movie 'Eragon'?,Robert Carlyle
Who acted as Nina in the movie 'Day of the Dead'?,AnnaLynne McCord
Who acted as Tess Ocean in the movie 'Ocean's Eleven'?,Julia Roberts
Who acted as Rhodes in the movie 'The Librarian: Quest for the Spear'?,David Dayan Fisher
Who acted as Brian Spiro in the movie 'Life With Mikey'?,Victor Garber
Who acted as Gray in the movie 'The Deaths of Ian Stone'?,Michael Feast
Who acted as Mr. Brittain in the movie 'Testament of Youth'?,Dominic West
Who acted as Brandon Shaw in the movie 'Rope'?,John Dall
Who acted as Kelly Tanner in the movie 'Squatters'?,Gabriella Wilde
"Who acted as Himself in the movie 'Food, Inc.'?",Michael Pollan
Who acted as Marie Foster in the movie 'The Man in the Moon'?,Gail Strickland
Who acted as Erik in the movie 'Let the Right One In'?,Henrik Dahl
Who acted as Mr. Stifler in the movie 'American Pie Presents: Beta House'?,Christopher McDonald
Who acted as Doc Harrison in the movie 'The Hunting Party'?,Mitchell Ryan
Who acted as Kerrest in the movie 'Faces in the Crowd'?,Julian McMahon
Who acted as Emily Miller in the movie 'Casino Jack'?,Rachelle Lefevre
"Who acted as Bobby Ray in the movie 'To Wong Foo, Thanks for Everything! Julie Newmar'?",Jason London
Who acted as Sgt. Tim Cole in the movie 'The Objective'?,Sam Hunter
Who acted as Vadim in the movie 'Freezer'?,Pascal Petardi
Who acted as Shelly DeVoto in the movie 'My Girl'?,Jamie Lee Curtis
Who acted as Doc in the movie 'The East'?,Toby Kebbell
Who acted as Dean Moriarty / Neal Cassady in the movie 'On the Road'?,Garrett Hedlund
Who acted as Trevor Garfield in the movie 'One Eight Seven'?,Samuel L. Jackson
Who acted as Elise Rainier in the movie 'Insidious'?,Lin Shaye
Who acted as Eugene Bell in the movie 'Miss March'?,Zach Cregger
Who acted as Duke the Dog-Faced Boy in the movie 'Big Top Pee-wee'?,Benicio del Toro
Who acted as PTO in the movie 'THX 1138'?,Ian Wolfe
Who acted as Karen Christence Dinesen Blixen in the movie 'Out of Africa'?,Meryl Streep
Who acted as Melinda in the movie 'Bachelor Party 2: The Last Temptation'?,Sara Foster
Who acted as Alfredo López in the movie 'Torremolinos 73'?,Javier Cámara
Who acted as Kimberly in the movie 'Brainscan'?,Amy Hargreaves
Who acted as Glaucus in the movie 'Harold and Maude'?,Cyril Cusack
Who acted as Sebastian in the movie 'Just Another Love Story'?,Nikolaj Lie Kaas
Who acted as Bev in the movie 'White God'?,Lili Monori
Who acted as  in the movie 'The Haunting in Connecticut 2: Ghosts of Georgia'?,Abigail Spencer
Who acted as Capt. Scott in the movie 'North West Frontier'?,Kenneth More
Who acted as Gregorio Cortez in the movie 'Spy Kids'?,Antonio Banderas
"Who acted as Zare Destanov in the movie 'Black Cat, White Cat'?",Florijan Ajdini
Who acted as Jonesy in the movie 'Wrong Turn 2: Dead End'?,Steve Braun
Who acted as Ulric in the movie 'Black Death'?,Sean Bean
Who acted as Titania in the movie 'A Midsummer Night's Dream'?,Michelle Pfeiffer
Who acted as Tessa in the movie 'American Mary'?,Julia Maxwell
Who acted as Brandon Sullivan in the movie 'Shame'?,Michael Fassbender
Who acted as Harold Thompson in the movie 'Wicked Little Things'?,Geoffrey Lewis
Who acted as Rosie DeLeon in the movie 'Bye Bye Birdie'?,Janet Leigh
Who acted as RoboCop in the movie 'RoboCop 3'?,Robert John Burke
Who acted as Jean in the movie 'Emmanuelle'?,Daniel Sarky
"Who acted as Dr. Blorna, Anwalt in the movie 'The Lost Honor of Katharina Blum'?",Heinz Bennent
Who acted as Himself in the movie 'The Pixar Story'?,Ron Clements
Who acted as Denise in the movie 'The Day of the Jackal'?,Olga Georges-Picot
Who acted as Libby Holden in the movie 'Primary Colors'?,Kathy Bates
Who acted as Jane Brooks in the movie 'Mr. Brooks'?,Danielle Panabaker
Who acted as The Real Bandit in the movie 'Smokey and the Bandit Part 3'?,Burt Reynolds
Who acted as Russ in the movie 'The Weather Man'?,Michael Rispoli
